Site ID,Name,Lat,Long,Elev,Clim,Veg,MAT,MAP,StartDate,EndDate,LE_count,closure_ratio
US-Rws,Reynolds Creek Wyoming big sagebrush,43.1675,-116.7132,1425,Bsk,OSH,8.9,290,10/1/18 07:00,10/1/22 07:00,51751,0.68
US-xJE,NEON Jones Ecological Research Center (JERC),31.1948,-84.4686,44,Cfa,ENF,19.2,1307.97,10/1/18 05:00,12/1/22 00:00,31696,0.68
US-SRG,Santa Rita Grassland,31.7894,-110.8277,1291,Bsk,GRA,17,420,10/1/18 07:00,1/1/24 06:30,80385,0.67
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),40.0543,-105.5824,3513,Dfc,ENF,0.3,1004.54,10/1/18 07:00,12/1/22 00:00,14773,0.67
US-Rms,RCEW Mountain Big Sagebrush,43.0645,-116.7486,2111,Bsh,CSH,5.4,800,10/1/18 07:00,10/1/22 07:00,44099,0.67
US-NR4,Niwot Ridge Alpine (T-Van East),40.052,-105.5859,3502,ET,GRA,-2.2,884,10/1/18 07:00,1/1/23 07:00,23253,0.67
US-xDS,NEON Disney Wilderness Preserve (DSNY),28.125,-81.4362,15,Cfa,CVM,22.5,1216.09,10/1/18 05:00,12/1/22 00:00,33259,0.66
US-xJR,NEON Jornada LTER (JORN),32.5907,-106.8425,1329,Bsk,OSH,15.7,271.33,10/1/18 07:00,12/1/22 00:00,38169,0.66
US-Bar,Bartlett Experimental Forest,44.0646,-71.2881,272,Dfb,DBF,5.61,1245.77,10/1/18 05:00,1/1/23 05:00,32177,0.66
US-ALQ,Allequash Creek Site,46.0308,-89.6067,,Dfb,WET,,,10/1/18 06:00,3/11/24 06:00,51120,0.66
US-MMS,Morgan Monroe State Forest,39.3232,-86.4131,275,Cfa,DBF,10.85,1032,10/1/18 05:00,10/24/23 05:00,32891,0.66
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,40.7536,-78.0056,390,Dfb,CVM,10.1,1006.35,1/1/19 05:30,1/1/24 05:00,60879,0.66
US-PFb,NW1 Pine-1 CHEESEHEAD 2019,45.972,-90.3232,474,Dfb,ENF,4.33,823,1/1/19 06:30,11/1/19 06:00,3088,0.65
US-xDL,NEON Dead Lake (DELA),32.5417,-87.8039,22,Cfa,MF,17.6,1372,10/1/18 05:00,12/1/22 00:00,11998,0.65
US-xPU,NEON Pu'u Maka'ala Natural Area Reserve (PUUM),19.5531,-155.3173,1685,Cfb,EBF,13,2685,1/1/19 10:30,12/1/22 00:00,17228,0.65
US-xBL,NEON Blandy Experimental Farm (BLAN),39.0603,-78.0716,183,Cfa,DBF,12.1,982.55,10/1/18 05:00,12/1/22 00:00,27346,0.65
US-xST,NEON Steigerwaldt Land Services (STEI),45.5089,-89.5864,481,Dfb,DBF,4.8,797.56,10/1/18 06:00,12/1/22 00:00,44884,0.65
US-xSB,NEON Ordway-Swisher Biological Station (OSBS),29.6893,-81.9934,45,Cfa,ENF,20.9,1302.09,10/1/18 05:00,12/1/22 00:00,22492,0.65
US-xRN,NEON Oak Ridge National Lab (ORNL),35.9641,-84.2826,334,Cfa,DBF,14.4,1340.32,10/1/18 05:00,12/1/22 00:00,26640,0.65
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,40.7559,-77.9998,396,Dfb,CVM,10.1,1006.35,1/1/19 05:30,1/1/24 05:00,59949,0.65
US-xTR,NEON Treehaven (TREE),45.4937,-89.5857,472,Dfb,DBF,4.8,797.56,10/1/18 06:00,12/1/22 00:00,41140,0.65
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",40.2759,-105.5459,2743,Dfc,ENF,2.9,730.59,10/1/18 07:00,12/1/22 00:00,40313,0.65
US-Tw4,Twitchell East End Wetland,38.1027,-121.6413,-5,Csa,WET,15.6,421,10/1/18 08:00,1/1/23 08:00,53106,0.65
US-Bi2,Bouldin Island corn,38.1091,-121.5351,-5,Csa,CRO,16,338,10/1/18 08:00,1/1/24 08:00,59711,0.64
US-Jo2,Jornada Experimental Range Mixed Shrubland,32.5849,-106.6032,1469,Bwk,OSH,17.5,282.3,10/1/18 07:00,1/1/21 07:00,27483,0.64
US-CS5,Central Sands Irrigated Agricultural Field,44.1095,-89.5377,328,Dfa,CRO,7,830,1/1/21 06:30,1/1/22 06:00,5232,0.64
US-Mpj,Mountainair Pinyon-Juniper Woodland,34.4384,-106.2377,2138,Bsk,OSH,10.5,385,10/1/18 07:00,1/1/24 07:00,69242,0.64
US-xWR,NEON Wind River Experimental Forest (WREF),45.8205,-121.9519,407,Csb,ENF,9.2,2225.01,10/1/18 08:00,12/1/22 00:00,20992,0.64
US-xUK,NEON The University of Kansas Field Station (UKFS),39.0404,-95.1921,335,Cfa,DBF,12.7,990.63,10/1/18 06:00,12/1/22 00:00,36165,0.63
US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),46.2339,-89.5373,518,Dfb,MF,4.3,802.3,10/1/18 06:00,11/30/22 00:00,35448,0.63
US-xBR,NEON Bartlett Experimental Forest (BART),44.0639,-71.2873,232,Dfb,DBF,5.6,1246,10/1/18 05:00,12/1/22 00:00,33629,0.63
US-CF4,CAF-LTAR Boyd South,46.7518,-117.1285,795,Dsb,CRO,9,550,10/1/18 08:00,1/1/22 07:30,19514,0.63
US-xCL,NEON LBJ National Grassland (CLBJ),33.4012,-97.57,259,Cfa,GRA,17.5,925.61,10/1/18 06:00,12/1/22 00:00,25488,0.63
CA-DBB,Delta Burns Bog,49.1293,-122.9849,4,Csb,WET,10,1128,10/1/18 08:00,1/1/21 08:00,22788,0.63
US-Hn2,Hanford 100H grassland,46.6889,-119.4641,117.5,Bsk,GRA,12.8,197,10/1/18 08:00,1/1/19 08:00,1816,0.63
US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,45.9365,-90.2641,497,Dfb,DBF,4.33,823,1/1/19 06:30,11/1/19 06:00,3577,0.63
US-xKA,NEON Konza Prairie Biological Station - Relocatable (KONA),39.1104,-96.6129,1329,Cfa,GRA,12.7,850.63,10/1/18 06:00,12/1/22 00:00,32179,0.62
US-CS3,Central Sands Irrigated Agricultural Field,44.1394,-89.5727,328,Dfa,CRO,7,830,1/1/19 06:30,4/11/20 06:00,7703,0.62
US-xTE,NEON Lower Teakettle (TEAK),37.0058,-119.006,2147,Csa,ENF,8,1222.5,10/1/18 08:00,12/1/22 00:00,19119,0.62
US-Rwf,RCEW Upper Sheep Prescibed Fire,43.1207,-116.7231,1878,Bsh,CSH,6.5,505,10/1/18 07:00,10/1/22 07:00,46196,0.62
US-xML,NEON Mountain Lake Biological Station (MLBS),37.3783,-80.5248,1126,Dfb,DBF,8.8,1227.82,10/1/18 05:00,12/1/22 00:00,25765,0.62
US-UiB,University of Illinois Miscanthus,40.0628,-88.1984,224,Dfa,CRO,10.9,1051,10/1/18 06:00,1/1/22 06:00,40313,0.62
PR-xGU,NEON Guanica Forest (GUAN),17.9696,-66.8687,143,Am,EBF,25,1168,10/1/18 04:00,12/1/22 00:00,12403,0.61
US-ARM,ARM Southern Great Plains site- Lamont,36.6058,-97.4888,314,Cfa,CRO,14.76,843,10/1/18 06:00,4/2/24 00:00,62509,0.61
US-Kon,Konza Prairie LTER (KNZ),39.0824,-96.5603,417,Cfa,GRA,12.77,867,10/1/18 06:00,1/1/20 05:30,617,0.6
US-HB2,Hobcaw Barony Mature Longleaf Pine,33.3242,-79.244,4.7,Cfa,ENF,18.3,1429,1/1/19 05:30,1/1/20 05:00,13633,0.6
US-xSL,"NEON North Sterling, CO (STER)",40.4619,-103.0293,1364,Bsk,CRO,9.7,432.67,10/1/18 07:00,12/1/22 00:00,23176,0.6
US-xWD,NEON Woodworth (WOOD),47.1282,-99.2414,579,Dfb,GRA,4.9,493.76,10/1/18 06:00,12/1/22 00:00,20494,0.6
US-CS4,Central Sands Irrigated Agricultural Field,44.1597,-89.5475,328,Dfa,CRO,7,830,1/1/20 06:30,4/27/21 06:00,6359,0.6
US-xAE,NEON Klemme Range Research Station (OAES),35.4106,-99.0588,516,Cfa,GRA,15.5,778.85,10/1/18 06:00,12/1/22 00:00,29615,0.6
US-GLE,GLEES,41.3665,-106.2399,3197,Dfc,ENF,0.8,1200,10/1/18 07:00,10/1/20 07:00,20896,0.6
